timestamp,src_mac,dst_mac,eth_type,protocol,src_ip,dst_ip,src_port,dst_port,pkt_size,ttl,iat,flow_duration,pkts_per_flow,bytes_per_flow,flow_table_util,new_flow_rate,port_entropy,flow_pkt_ratio,burst_score,entropy_delta,spoofing_conf,label
1778820553.7882335,1b:c8:55:18:3a:6a,00:1A:2B:da:fc:b2,2048,6,10.0.2.30,177.99.215.236,51671,443,512,128,0.103883,0.994448,38,19456,0.324468,5.51384,1.32729,0.144295,55.138402,0.605178,0.03622,0
1778820718.4438915,7c:f0:a6:e6:83:94,00:0C:29:3B:5C:02,2048,6,10.78.250.48,192.168.1.1,5602,8080,64,255,0.026233,3.52043,19,1216,0.77926,44.769393,2.01558,8.295133,12.717023,0.419928,0.193751,1
1778820360.4275339,0d:19:95:89:40:c6,68:68:6c:d8:e7:c3,2048,17,10.0.2.241,104.255.43.179,60147,53,512,128,0.116613,0.067386,1,512,0.251343,14.082752,0.457136,0.948977,100.0,1.00406,0.147179,0
1778820742.8319242,74:27:7a:10:2a:ba,08:00:27:4A:6B:03,2048,6,172.18.112.7,172.16.0.1,60148,27046,128,64,0.041119,0.404067,11,1408,0.141324,11.699472,2.570511,0.429761,28.954306,0.65172,0.721421,1
1778820700.016618,00:0C:29:3B:5C:02,00:0C:29:3B:5C:02,2048,6,65.81.66.91,10.0.2.1,6651,22433,64,32,0.089116,0.963141,2,128,0.469462,20.290368,3.381307,9.771242,21.066872,1.793964,0.508354,1
1778820235.3418658,d6:39:d4:4c:4b:33,33:92:b0:d2:87:c4,2048,6,122.19.88.71,175.205.19.102,64723,80,256,64,0.021289,1.631335,19,4864,0.347275,0.1,1.872245,0.008586,0.612995,0.397513,0.044117,0
1778820917.7106023,81:58:4a:c8:00:3a,bd:ec:01:3b:2f:02,2048,6,72.234.153.149,10.190.144.133,51409,3306,128,128,0.039702,2.024349,56,7168,0.289257,0.1,1.958542,0.003615,0.493986,0.069167,0.043578,0
1778820228.5546923,f9:dd:e4:d8:8b:a3,db:66:b4:bf:20:e6,2048,6,10.0.1.246,76.180.203.8,63222,8080,64,128,0.09382,1.256426,22,1408,0.49866,3.133303,1.066302,0.178944,24.938227,1.029227,0.059857,0
1778820310.8745987,00:25:9C:0E:9B:06,36:c3:83:69:e2:70,2048,6,10.0.2.149,102.79.228.60,54012,3306,512,32,0.198143,2.221468,15,7680,0.188621,5.480501,0.854705,0.811651,24.670628,0.997011,0.01,0
1778820782.5086741,c2:44:9f:8e:25:0c,00:25:9C:0E:9B:06,2048,17,82.240.113.218,111.178.28.224,58124,53,64,64,0.186006,0.169836,1,64,0.31081,0.825968,1.063858,0.14028,8.259682,0.076218,0.01,0
1778820713.135993,00:1B:21:29:fc:e6,00:1B:21:1F:8A:05,2048,6,201.38.23.206,10.0.2.1,45178,5506,128,128,0.058301,0.584614,12,1536,0.611456,29.404565,2.961646,1.432526,50.29743,0.972182,0.067919,1
1778820705.270958,22:76:a5:3b:58:ee,00:50:56:2D:7E:04,2048,6,112.159.22.168,172.16.0.1,18207,80,1024,64,0.458343,1.785772,24,24576,0.24601,0.1,0.465115,0.007441,0.055998,0.982717,0.148982,1
1778821054.0008204,00:50:56:2D:7E:04,00:50:56:2D:7E:04,2048,6,188.130.210.158,10.156.4.5,52747,80,128,255,0.101764,1.405158,16,2048,0.248571,18.374047,1.50911,1.613653,100.0,0.656105,0.022358,0
1778821181.2215838,00:0C:29:3B:5C:02,00:0C:29:3B:5C:02,2048,6,10.0.4.36,10.0.4.251,63846,443,1500,128,0.002822,48.680088,250,375000,0.401774,0.1,2.39719,0.019472,0.020542,0.376291,0.020149,0
1778820757.4726799,90:6b:c9:27:4b:17,00:0C:29:3B:5C:02,2048,6,108.89.249.155,192.168.1.1,43901,58148,64,128,0.062651,0.532763,22,1408,0.389068,9.515487,2.585761,0.230432,17.860623,0.757509,0.33268,1
1778820699.627451,00:25:9C:77:26:26,00:0C:29:3B:5C:02,2048,6,216.95.167.232,172.16.0.1,11791,8857,1024,64,0.011079,0.537121,1,1024,0.615456,50.688963,4.452184,27.226093,94.371638,0.592367,0.274035,1
1778820702.9882483,00:0C:29:3B:5C:02,00:1B:21:1F:8A:05,2048,6,148.102.76.204,144.208.198.130,50172,443,512,128,0.30775,2.341715,46,23552,0.31017,0.1,1.228855,0.005091,0.427037,0.278135,0.080436,0
1778820554.1413453,00:50:56:2D:7E:04,59:45:19:83:5f:c6,2048,6,10.0.4.145,172.28.37.248,54949,554,1500,64,0.044613,47.924341,537,805500,0.68874,0.1,1.17361,0.008924,0.020866,0.435888,0.027451,0
1778820621.4832296,05:84:c2:b2:d5:05,5d:d0:22:6f:43:d1,2048,6,160.226.225.228,120.20.105.146,53880,21,512,32,0.19862,2.323184,57,29184,0.240651,2.739291,1.083537,0.111647,11.791106,0.90754,0.07264,0
1778820435.8627975,00:50:56:2D:7E:04,ba:26:ff:9d:99:d0,2048,17,10.0.3.84,10.0.1.223,52432,53,64,64,0.012499,0.061359,1,64,0.04548,10.341819,1.806514,0.634567,100.0,0.402607,0.071551,0
